serie,año,mes,fecha,pasajeros,conjunto,prediccion_hw,pi_low,pi_high,prediccion_reg
1,1949,1,1949-01,112.0,entrenamiento,112.0,,,112.8
2,1949,2,1949-02,118.0,entrenamiento,120.6,,,112.0
3,1949,3,1949-03,132.0,entrenamiento,134.3,,,129.7
4,1949,4,1949-04,129.0,entrenamiento,129.8,,,125.6
5,1949,5,1949-05,121.0,entrenamiento,122.2,,,126.4
6,1949,6,1949-06,135.0,entrenamiento,136.3,,,144.4
7,1949,7,1949-07,148.0,entrenamiento,151.1,,,161.3
8,1949,8,1949-08,148.0,entrenamiento,151.2,,,161.8
9,1949,9,1949-09,136.0,entrenamiento,139.8,,,141.9
10,1949,10,1949-10,119.0,entrenamiento,123.4,,,124.5
11,1949,11,1949-11,104.0,entrenamiento,110.9,,,109.3
12,1949,12,1949-12,118.0,entrenamiento,127.4,,,123.9
13,1950,1,1950-01,115.0,entrenamiento,129.4,,,127.6
14,1950,2,1950-02,126.0,entrenamiento,131.4,,,126.7
15,1950,3,1950-03,141.0,entrenamiento,145.4,,,146.8
16,1950,4,1950-04,135.0,entrenamiento,140.5,,,142.2
17,1950,5,1950-05,125.0,entrenamiento,130.2,,,143.0
18,1950,6,1950-06,149.0,entrenamiento,143.4,,,163.4
19,1950,7,1950-07,170.0,entrenamiento,160.5,,,182.5
20,1950,8,1950-08,170.0,entrenamiento,165.0,,,183.1
21,1950,9,1950-09,158.0,entrenamiento,154.6,,,160.6
22,1950,10,1950-10,133.0,entrenamiento,137.9,,,140.9
23,1950,11,1950-11,114.0,entrenamiento,121.4,,,123.7
24,1950,12,1950-12,140.0,entrenamiento,138.1,,,140.3
25,1951,1,1951-01,145.0,entrenamiento,140.7,,,144.4
26,1951,2,1951-02,150.0,entrenamiento,157.7,,,143.4
27,1951,3,1951-03,178.0,entrenamiento,174.6,,,166.1
28,1951,4,1951-04,163.0,entrenamiento,170.2,,,160.9
29,1951,5,1951-05,172.0,entrenamiento,156.8,,,161.9
30,1951,6,1951-06,178.0,entrenamiento,190.0,,,184.9
31,1951,7,1951-07,199.0,entrenamiento,206.3,,,206.5
32,1951,8,1951-08,199.0,entrenamiento,200.7,,,207.2
33,1951,9,1951-09,184.0,entrenamiento,183.9,,,181.8
34,1951,10,1951-10,162.0,entrenamiento,156.5,,,159.5
35,1951,11,1951-11,146.0,entrenamiento,138.7,,,140.0
36,1951,12,1951-12,166.0,entrenamiento,172.2,,,158.7
37,1952,1,1952-01,171.0,entrenamiento,173.4,,,163.5
38,1952,2,1952-02,180.0,entrenamiento,181.3,,,162.3
39,1952,3,1952-03,193.0,entrenamiento,212.4,,,187.9
40,1952,4,1952-04,181.0,entrenamiento,190.4,,,182.1
41,1952,5,1952-05,183.0,entrenamiento,189.9,,,183.2
42,1952,6,1952-06,218.0,entrenamiento,198.3,,,209.2
43,1952,7,1952-07,230.0,entrenamiento,232.5,,,233.7
44,1952,8,1952-08,242.0,entrenamiento,231.8,,,234.5
