age,population,men,women,m_w_ratio
00 años, 1 812 977,  916 140,  896 837,102.15
01 años, 1 909 958,  967 223,  942 735,102.60
02 años, 2 041 119, 1 031 816, 1 009 303,102.23
03 años, 2 108 406, 1 060 809, 1 047 597,101.26
04 años, 2 174 905, 1 101 494, 1 073 411,102.62
05 años, 2 178 901, 1 106 361, 1 072 540,103.15
06 años, 2 095 349, 1 057 642, 1 037 707,101.92
07 años, 2 146 294, 1 087 091, 1 059 203,102.63
08 años, 2 234 495, 1 140 496, 1 093 999,104.25
09 años, 2 109 340, 1 061 501, 1 047 839,101.30
10 años, 2 299 267, 1 174 026, 1 125 241,104.34
11 años, 2 101 472, 1 066 706, 1 034 766,103.09
12 años, 2 249 567, 1 146 128, 1 103 439,103.87
13 años, 2 140 641, 1 082 309, 1 058 332,102.27
14 años, 2 152 593, 1 085 091, 1 067 502,101.65
15 años, 2 193 794, 1 113 136, 1 080 658,103.01
16 años, 2 086 484, 1 054 448, 1 032 036,102.17
17 años, 2 212 396, 1 122 956, 1 089 440,103.08
18 años, 2 307 675, 1 172 693, 1 134 982,103.32
19 años, 2 006 341,  998 917, 1 007 424,99.16
20 años, 2 307 835, 1 146 232, 1 161 603,98.68
21 años, 1 917 550,  957 236,  960 314,99.68
22 años, 2 128 911, 1 061 846, 1 067 065,99.51
23 años, 2 034 083, 1 005 112, 1 028 971,97.68
24 años, 2 033 716,  995 458, 1 038 258,95.88
25 años, 2 179 016, 1 063 775, 1 115 241,95.39
26 años, 1 976 471,  954 163, 1 022 308,93.33
27 años, 1 954 646,  955 081,  999 565,95.55
28 años, 2 044 540, 1 001 692, 1 042 848,96.05
29 años, 1 838 328,  886 693,  951 635,93.18
30 años, 2 366 318, 1 148 015, 1 218 303,94.23
31 años, 1 541 404,  734 272,  807 132,90.97
32 años, 1 997 789,  959 947, 1 037 842,92.49
33 años, 1 777 080,  849 187,  927 893,91.52
34 años, 1 738 236,  836 305,  901 931,92.72
35 años, 2 003 176,  966 246, 1 036 930,93.18
36 años, 1 828 356,  870 975,  957 381,90.97
37 años, 1 600 851,  767 996,  832 855,92.21
38 años, 1 942 049,  941 824, 1 000 225,94.16
39 años, 1 645 844,  784 489,  861 355,91.08
40 años, 2 206 005, 1 059 322, 1 146 683,92.38
41 años, 1 315 240,  624 905,  690 335,90.52
42 años, 1 925 907,  928 285,  997 622,93.05
43 años, 1 618 309,  768 115,  850 194,90.35
44 años, 1 438 125,  681 677,  756 448,90.12
45 años, 1 895 945,  919 327,  976 618,94.13
46 años, 1 509 494,  718 647,  790 847,90.87
47 años, 1 507 873,  725 378,  782 495,92.70
48 años, 1 591 330,  763 098,  828 232,92.14
49 años, 1 437 771,  685 894,  751 877,91.22
50 años, 1 865 176,  890 709,  974 467,91.40
51 años, 1 100 487,  519 757,  580 730,89.50
52 años, 1 490 960,  711 793,  779 167,91.35
53 años, 1 281 760,  606 024,  675 736,89.68
54 años, 1 299 149,  603 880,  695 269,86.86
55 años, 1 315 508,  621 423,  694 085,89.53
56 años, 1 235 819,  591 296,  644 523,91.74
57 años, 1 013 170,  476 655,  536 515,88.84
58 años, 1 113 318,  524 223,  589 095,88.99
59 años, 1 018 143,  479 379,  538 764,88.98
60 años, 1 333 530,  627 532,  705 998,88.89
61 años,  746 362,  347 068,  399 294,86.92
62 años,  972 778,  456 755,  516 023,88.51
63 años,  919 820,  431 407,  488 413,88.33
64 años,  848 572,  395 100,  453 472,87.13
65 años,  983 101,  462 245,  520 856,88.75
66 años,  679 790,  316 121,  363 669,86.93
67 años,  666 851,  316 743,  350 108,90.47
68 años,  753 713,  349 542,  404 171,86.48
69 años,  561 622,  262 199,  299 423,87.57
70 años,  716 246,  332 464,  383 782,86.63
71 años,  413 507,  194 181,  219 326,88.54
72 años,  580 011,  272 830,  307 181,88.82
73 años,  480 424,  223 788,  256 636,87.20
74 años,  457 152,  210 229,  246 923,85.14
75 años,  470 115,  219 479,  250 636,87.57
76 años,  383 667,  178 282,  205 385,86.80
77 años,  317 417,  148 489,  168 928,87.90
78 años,  362 898,  171 128,  191 770,89.24
79 años,  280 485,  130 520,  149 965,87.03
80 años,  349 002,  156 170,  192 832,80.99
81 años,  181 704,  83 368,  98 336,84.78
82 años,  230 050,  102 905,  127 145,80.94
83 años,  210 369,  92 350,  118 019,78.25
84 años,  204 239,  89 019,  115 220,77.26
85 años,  189 769,  82 532,  107 237,76.96
86 años,  150 665,  65 151,  85 514,76.19
87 años,  123 753,  52 994,  70 759,74.89
88 años,  101 855,  43 694,  58 161,75.13
89 años,  93 203,  38 980,  54 223,71.89
90 años,  96 259,  39 510,  56 749,69.62
91 años,  42 285,  17 136,  25 149,68.14
92 años,  50 444,  20 213,  30 231,66.86
93 años,  41 753,  16 679,  25 074,66.52
94 años,  36 065,  13 820,  22 245,62.13
95 años,  29 917,  11 533,  18 384,62.73
96 años,  22 704,  8 984,  13 720,65.48
97 años,  16 536,  6 309,  10 227,61.69
98 años,  15 452,  5 892,  9 560,61.63
99 años,  10 596,  3 897,  6 699,58.17
100 años y más,  18 295,  6 644,  11 651,57.03
No especificado,  273 386,  136 194,  137 192,99.27
